Depth,VpHYS14,VpHYSB1,VsHYSB1,VsHYS14,Thickness
6.1,4.318,6.824,2.353103448275862,1.9627272727272724,0.2999999999999998
6.4,4.418,6.87,2.3689655172413793,2.0081818181818183,0.3000000000000007
6.7,4.41,6.871,2.3693103448275865,2.0045454545454544,0.2999999999999998
7.0,5.455,6.879,2.3720689655172413,2.4795454545454545,0.2999999999999998
7.5,6.12,6.846,2.360689655172414,2.7818181818181817,0.5
8.0,6.626,6.783,2.3389655172413795,3.0118181818181817,0.5
8.5,6.52,6.812,2.3489655172413797,2.9636363636363634,0.5
9.0,6.695,8.249,2.84448275862069,3.043181818181818,0.5
9.5,6.737,8.233,2.8389655172413795,3.062272727272727,0.5
10.0,6.725,8.259,2.847931034482759,3.056818181818181,0.5
10.5,6.731,8.091,2.79,3.059545454545454,0.5
11.0,6.621,7.877,2.716206896551724,3.0095454545454543,0.5
11.5,6.604,7.752,2.673103448275862,3.0018181818181815,0.5
12.0,6.653,7.681,2.6486206896551727,3.0240909090909085,0.5
12.5,7.655,7.695,2.653448275862069,3.4795454545454545,0.5
13.0,7.475,7.733,2.666551724137931,3.3977272727272725,0.5
13.5,7.812,7.802,2.6903448275862067,3.550909090909091,0.5
14.0,8.048,7.845,2.7051724137931035,3.6581818181818178,0.5
14.5,8.13,7.875,2.7155172413793105,3.6954545454545453,0.5
15.0,8.015,7.915,2.7293103448275864,3.643181818181818,0.5
15.5,7.947,7.917,2.73,3.612272727272727,0.5
16.0,7.915,7.905,2.7258620689655175,3.5977272727272727,0.5
16.5,7.91,7.887,2.719655172413793,3.5954545454545452,0.5
17.0,7.9,7.878,2.7165517241379313,3.590909090909091,0.5
17.5,7.898,7.877,2.716206896551724,3.5899999999999994,0.5
18.0,7.883,7.882,2.7179310344827585,3.583181818181818,0.5
18.5,7.876,7.888,2.72,3.58,0.5
19.0,7.872,7.894,2.7220689655172414,3.5781818181818177,0.5
19.5,7.873,7.898,2.723448275862069,3.5786363636363636,0.5
20.0,7.877,7.901,2.7244827586206894,3.580454545454545,0.5
20.5,7.881,7.904,2.7255172413793103,3.582272727272727,0.5
21.0,7.885,7.907,2.726551724137931,3.5840909090909085,0.5
21.5,7.888,7.91,2.727586206896552,3.585454545454545,0.5
22.0,7.891,7.914,2.728965517241379,3.5868181818181815,0.5
22.5,7.894,7.917,2.73,3.588181818181818,0.5
23.0,7.898,7.92,2.731034482758621,3.5899999999999994,0.5
23.5,7.901,7.923,2.7320689655172417,3.591363636363636,0.5
24.0,7.904,7.927,2.733448275862069,3.5927272727272723,0.5
24.5,7.908,7.93,2.7344827586206897,3.5945454545454543,0.5
25.0,7.911,7.933,2.7355172413793105,3.5959090909090903,0.5
25.5,7.914,7.936,2.736551724137931,3.5972727272727267,0.5
26.0,7.917,7.939,2.7375862068965517,3.598636363636363,0.5
26.5,7.92,7.942,2.7386206896551726,3.5999999999999996,0.5
27.0,7.923,7.945,2.7396551724137934,3.601363636363636,0.5
27.5,7.926,7.948,2.740689655172414,3.6027272727272726,0.5
28.0,7.93,7.952,2.7420689655172414,3.604545454545454,0.5
28.5,7.933,7.955,2.7431034482758623,3.6059090909090905,0.5
29.0,7.936,7.958,2.744137931034483,3.607272727272727,0.5
29.5,7.939,7.961,2.7451724137931035,3.6086363636363634,0.5
30.0,7.942,7.964,2.7462068965517243,3.61,0.5
30.5,7.945,7.967,2.7472413793103447,3.6113636363636363,0.5
31.0,7.948,7.97,2.7482758620689656,3.612727272727273,0.5
31.5,7.952,7.974,2.749655172413793,3.6145454545454543,0.5
32.0,7.955,7.977,2.750689655172414,3.6159090909090907,0.5
32.5,7.958,7.98,2.751724137931035,3.617272727272727,0.5
33.0,7.961,7.983,2.7527586206896553,3.6186363636363637,0.5
33.5,7.964,7.986,2.7537931034482757,3.62,0.5
34.0,7.967,7.989,2.7548275862068965,3.621363636363636,0.5
34.5,7.97,7.992,2.7558620689655173,3.622727272727272,0.5
35.0,7.974,7.996,2.757241379310345,3.6245454545454545,0.5
35.5,7.977,7.999,2.7582758620689654,3.625909090909091,0.5
36.0,7.98,8.002,2.7593103448275866,3.627272727272727,0.5
36.5,7.983,8.005,2.7603448275862075,3.628636363636363,0.5
37.0,7.986,8.008,2.7613793103448274,3.6299999999999994,0.5
37.5,7.989,8.011,2.7624137931034483,3.631363636363636,0.5
38.0,7.992,8.015,2.7637931034482763,3.6327272727272724,0.5
38.5,7.996,8.018,2.7648275862068967,3.6345454545454543,0.5
39.0,7.999,8.021,2.7658620689655176,3.6359090909090903,0.5
39.5,8.002,8.024,2.7668965517241375,3.637272727272727,0.5
