lat,lon,depth,starttime,energy,duration 
44.475,-123.455,25.0,2009-09-04 21:22:30,0.0, None 
44.51,-123.53,45.0,2009-09-04 21:25:00,0.0, None 
44.555,-123.5,31.0,2009-09-04 21:27:30,0.0, None 
44.59,-123.42,28.0,2009-09-04 21:30:00,0.0, None 
44.535,-123.43,28.5,2009-09-04 21:47:30,0.0, None 
44.48,-123.265,60.0,2009-09-04 21:57:30,0.0, None 
44.46,-123.33,46.5,2009-09-04 22:00:00,0.0, None 
44.51,-123.31,51.0,2009-09-04 22:02:30,0.0, None 
44.54,-123.31,60.0,2009-09-04 22:05:00,0.0, None 
44.53,-123.5,20.0,2009-09-04 22:07:30,0.0, None 
44.56,-123.56,34.5,2009-09-04 22:10:00,0.0, None 
44.59,-123.7,60.0,2009-09-04 22:15:00,0.0, None 
44.585,-123.38,48.0,2009-09-04 22:30:00,0.0, None 
44.49,-123.51,24.0,2009-09-04 22:42:30,0.0, None 
44.57,-123.49,36.0,2009-09-04 22:45:00,0.0, None 
44.53,-123.295,20.0,2009-09-04 22:57:30,0.0, None 
44.42,-123.48,51.0,2009-09-04 23:10:00,0.0, None 
44.45,-123.52,47.0,2009-09-04 23:27:30,0.0, None 
44.45,-123.64,60.0,2009-09-04 23:30:00,0.0, None 
44.57,-123.5,39.0,2009-09-04 23:35:00,0.0, None 
44.53,-123.46,60.0,2009-09-04 23:37:30,0.0, None 
44.6,-123.47,20.0,2009-09-04 23:47:30,0.0, None 
44.56,-123.45,60.0,2009-09-05 00:02:30,0.0, None 
44.58,-123.65,49.0,2009-09-05 00:30:00,0.0, None 
44.58,-123.505,34.0,2009-09-05 00:32:30,0.0, None 
44.59,-123.57,47.0,2009-09-05 00:35:00,0.0, None 
44.58,-123.61,29.0,2009-09-05 00:37:30,0.0, None 
44.6,-123.72,38.0,2009-09-05 00:57:30,0.0, None 
44.56,-123.325,60.0,2009-09-05 01:00:00,0.0, None 
44.57,-123.66,60.0,2009-09-05 01:05:00,0.0, None 
44.58,-123.55,45.0,2009-09-05 01:07:30,0.0, None 
44.54,-123.77,60.0,2009-09-05 01:22:30,0.0, None 
44.558,-123.62,60.0,2009-09-05 01:25:00,0.0, None 
44.56,-123.47,39.5,2009-09-05 01:27:30,0.0, None 
44.525,-123.48,32.0,2009-09-05 01:30:00,0.0, None 
44.41,-123.325,20.0,2009-09-05 01:32:30,0.0, None 
44.52,-123.47,20.0,2009-09-05 01:35:00,0.0, None 
44.49,-123.49,20.0,2009-09-05 01:37:30,0.0, None 
44.415,-123.498,53.5,2009-09-05 01:40:00,0.0, None 
44.53,-123.44,60.0,2009-09-05 01:42:30,0.0, None 
44.52,-123.485,32.0,2009-09-05 01:45:00,0.0, None 
44.545,-123.47,20.0,2009-09-05 01:50:00,0.0, None 
44.58,-123.28,25.0,2009-09-05 01:52:30,0.0, None 
44.485,-123.42,60.0,2009-09-05 01:55:00,0.0, None 
44.49,-123.32,40.0,2009-09-05 01:57:30,0.0, None 
44.575,-123.6,50.0,2009-09-05 02:02:30,0.0, None 
44.58,-123.335,60.0,2009-09-05 02:07:30,0.0, None 
44.52,-123.485,48.5,2009-09-05 02:10:00,0.0, None 
44.55,-123.547,60.0,2009-09-05 02:12:30,0.0, None 
44.57,-123.74,60.0,2009-09-05 02:15:00,0.0, None 
44.545,-123.6,60.0,2009-09-05 02:22:30,0.0, None 
