T,DVT,CCT
2015-01-26T00:00:00.0,0.0024052786509205643,0.998218466783847
2015-01-27T00:00:00.0,0.0035237388158994576,0.9980038312591251
2015-01-28T00:00:00.0,0.003018627773650924,0.9980523985418441
2015-01-29T00:00:00.0,0.0032711832947751873,0.9970211252530288
2015-01-30T00:00:00.0,0.0034515800955782355,0.9969250703911746
2015-01-31T00:00:00.0,0.002982548413490313,0.9969376007904527
2015-02-01T00:00:00.0,0.004317484739432859,0.996955077482834
2015-02-02T00:00:00.0,0.0033072626549357984,0.9970214031102624
2015-02-03T00:00:00.0,0.0025856754517236125,0.9970742078175417
2015-02-04T00:00:00.0,0.002188802489956912,0.9971564054310598
2015-02-05T00:00:00.0,0.0025495960915630014,0.9971968983712794
2015-02-06T00:00:00.0,0.00413708793862981,0.9970731743926058
2015-02-07T00:00:00.0,0.003668056256541888,0.9970874963395993
2015-02-08T00:00:00.0,0.003848453057344943,0.9970028413862511
2015-02-09T00:00:00.0,0.00031267576160522864,0.9970353669878323
2015-02-10T00:00:00.0,0.00020443768112339902,0.9970336349199856
2015-02-11T00:00:00.0,0.0007456280835325402,0.9969881345452817
2015-02-12T00:00:00.0,0.0014672152867447191,0.9969443583041004
2015-02-13T00:00:00.0,0.0020444850493144748,0.9971174071450117
2015-02-14T00:00:00.0,0.0026939135322054386,0.9968461701408461
2015-02-15T00:00:00.0,0.0007095487233719326,0.9965800206389198
2015-02-16T00:00:00.0,0.0013228978461022889,0.9966621036624835
2015-02-17T00:00:00.0,0.00024051704128401005,0.9964768685961902
2015-02-18T00:00:00.0,0.001503294646905337,0.9962633225305937
2015-02-19T00:00:00.0,0.0002765964014446176,0.9975272956114768
2015-02-20T00:00:00.0,0.00020443768112339902,0.9979329829431447
2015-02-21T00:00:00.0,-0.0011425250982060146,0.9981550194935507
2015-02-22T00:00:00.0,0.0004930725624082734,0.9981131869240807
2015-02-23T00:00:00.0,0.0008177868038537588,0.9979431546747173
2015-02-24T00:00:00.0,0.0012146597656204627,0.9980592636908239
2015-02-25T00:00:00.0,0.0013228978461022889,0.9979213099684902
2015-02-26T00:00:00.0,0.0015393740070659412,0.9976936021912759
2015-02-27T00:00:00.0,0.0005291519225688844,0.997586927100044
2015-02-28T00:00:00.0,0.00020443768112339902,0.9979275487768383
2015-03-01T00:00:00.0,0.0014672152867447191,0.9978921055064578
2015-03-02T00:00:00.0,0.0008177868038537588,0.998077609377546
2015-03-03T00:00:00.0,0.000998183604656807,0.9980989188060256
2015-03-04T00:00:00.0,-0.0009982076575635775,0.9983141611508842
2015-03-05T00:00:00.0,-0.0033433660680031764,0.9983123617683064
2015-03-06T00:00:00.0,-0.003271207347681958,0.99829575941295
2015-03-07T00:00:00.0,-0.0031990486273607427,0.9984390143067476
2015-03-08T00:00:00.0,-0.0028021756655940387,0.9985466077342179
2015-03-09T00:00:00.0,-0.0015393980599727117,0.9986463994543581
2015-03-10T00:00:00.0,-0.0011064457380454036,0.9990545778662435
2015-03-11T00:00:00.0,-0.001828032941257586,0.9991713199369594
2015-03-12T00:00:00.0,-0.0008899695770817478,0.9991697853516401
2015-03-13T00:00:00.0,-0.0005291759754756549,0.9992159094985096
2015-03-14T00:00:00.0,0.0004569932022476658,0.9992637595456914
2015-03-15T00:00:00.0,0.0003487551217658362,0.9992838604680618
2015-03-16T00:00:00.0,-0.0007817314965999182,0.9993061592858524
2015-03-17T00:00:00.0,-0.0007095727762786996,0.9992951519626655
2015-03-18T00:00:00.0,-0.0026578582249516015,0.9993780935816989
2015-03-19T00:00:00.0,-0.002766096305433431,0.9993884115483
2015-03-20T00:00:00.0,-0.003920635830572925,0.9994323595827097
2015-03-21T00:00:00.0,-0.0026939375851122126,0.9993154877575191
2015-03-22T00:00:00.0,-0.0011425250982060146,0.999254029621663
2015-03-23T00:00:00.0,-0.0015033186998121076,0.9992719765065965
2015-03-24T00:00:00.0,-0.0019362710217394156,0.9992704288845038
2015-03-25T00:00:00.0,-0.002982572466397087,0.9991888245473
2015-03-26T00:00:00.0,-0.002766096305433431,0.9991184861409362
2015-03-27T00:00:00.0,-0.0016837155006151489,0.9989049318537426
2015-03-28T00:00:00.0,-0.002585699504630383,0.9990123893620769
2015-03-29T00:00:00.0,-0.002621778864790994,0.999092259655087
2015-03-30T00:00:00.0,-0.003271207347681958,0.9989948152711492
2015-03-31T00:00:00.0,-0.0033072867078425723,0.9989709070172748
2015-04-01T00:00:00.0,-0.003920635830572925,0.9991361527836647
2015-04-02T00:00:00.0,-0.003271207347681958,0.999175131341141
2015-04-03T00:00:00.0,-0.004137111991536584,0.9992149940329973
2015-04-04T00:00:00.0,-0.004570064313463896,0.9992113315631648
2015-04-05T00:00:00.0,-0.003668080309448662,0.999131080360693
2015-04-06T00:00:00.0,-0.00273001694527282,0.9990316274489266
2015-04-07T00:00:00.0,-0.002369223343666727,0.9989039128746899
2015-04-08T00:00:00.0,-0.0020084297420606342,0.9987356688505601
2015-04-09T00:00:00.0,0.00013227896080218043,0.9987716017144214
2015-04-10T00:00:00.0,-0.0015754774201333262,0.9981511385193611
2015-04-11T00:00:00.0,-0.0005652553356362625,0.9981377809221829
2015-04-12T00:00:00.0,-0.0007456521364393107,0.9983049417720151
2015-04-13T00:00:00.0,0.000565231282729492,0.9983263321133272
2015-04-14T00:00:00.0,-0.0005291759754756549,0.998607278337623
2015-04-15T00:00:00.0,-0.0011064457380454036,0.9986746260600108
2015-04-16T00:00:00.0,-0.0008899695770817478,0.9986604455399289
