hierarchical_cluster,peak_label_count,peak_label_list,avg_migration_speed_mean,avg_migration_speed_std,avg_migration_speed_min,avg_migration_speed_max,avg_migration_direction_mean,avg_migration_direction_std,avg_migration_direction_min,avg_migration_direction_max,event_count_mean,event_count_std,event_count_min,event_count_max
1,3,"['2013-03-13', '2016-01-27', '2024-04-10']",134.45752666912924,9.784508310174246,124.67764894092942,144.24665899623557,183.6135025820579,10.702859641181242,171.9287057362816,192.94163571997078,202.33333333333334,11.718930554164627,189,211
2,1,['2009-09-02'],159.2054939311138,,159.2054939311138,159.2054939311138,175.72299134545682,,175.72299134545682,175.72299134545682,447.0,,447,447
3,2,"['2013-02-27', '2024-04-24']",167.66321816366963,30.174848945591613,146.32637785296205,189.0000584743772,181.14617391909078,9.643549132948953,174.32715493247693,187.96519290570464,218.5,37.476659402887016,192,245
4,4,"['2017-11-29', '2019-05-15', '2021-04-14', '2022-10-12']",184.43745444512098,14.91904908698023,164.35351098500752,196.97552924117795,177.4620509757955,5.045989107644919,172.44025079286675,183.63639050743956,458.0,36.00925806881706,419,505
5,2,"['2011-06-08', '2024-09-25']",133.4927915242497,16.38438908585514,121.90727889604267,145.07830415245672,179.2030688644016,2.607059036892524,177.35959974046122,181.04653798834198,281.5,20.506096654409877,267,296
