bin_start,bin_end,bin_label,event_count,avg_migration_speed,avg_migration_direction
2009-09-02,2009-09-16,2009-09-02,447,159.2054939311138,175.72299134545682
2011-06-08,2011-06-22,2011-06-08,267,121.90727889604267,181.04653798834198
2013-02-27,2013-03-13,2013-02-27,192,146.32637785296205,187.96519290570464
2013-03-13,2013-03-27,2013-03-13,189,134.44827207022269,185.97016628992125
2016-01-27,2016-02-10,2016-01-27,207,124.67764894092942,192.94163571997078
2017-11-29,2017-12-13,2017-11-29,505,196.97552924117795,172.44025079286675
2019-05-15,2019-05-29,2019-05-15,419,181.9375941236065,174.39771990559578
2021-04-14,2021-04-28,2021-04-14,462,164.35351098500752,183.63639050743956
2022-10-12,2022-10-26,2022-10-12,446,194.48318343069195,179.37384269727994
2024-04-10,2024-04-24,2024-04-10,211,144.24665899623557,171.9287057362816
2024-04-24,2024-05-08,2024-04-24,245,189.0000584743772,174.32715493247693
2024-09-25,2024-10-09,2024-09-25,296,145.07830415245672,177.35959974046122
