time,dvv,ccmean
2017-07-01,-0.024416736357027194,5.922143466804995
2017-07-02,-0.02242632242869628,5.935631510638302
2017-07-03,-0.021824681148952328,5.942125298968234
2017-07-04,-0.019786983801713735,5.944258615796554
2017-07-05,-0.02074195181258903,5.951152586250386
2017-07-06,-0.019748787102614813,5.953340044680322
2017-07-07,-0.021103206327661172,5.956464218397142
2017-07-08,-0.019628338192514107,5.959191180683448
2017-07-09,-0.019595895005493663,5.9611870757959355
2017-07-10,-0.019656746480530292,5.963513218731099
2017-07-11,-0.02019866952687879,5.965394151567464
2017-07-12,-0.020088946579413295,5.96617680719224
2017-07-13,-0.020055284759925598,5.968373044047975
2017-07-14,-0.0200508634764889,5.96986609928942
2017-07-15,-0.02020632491898006,5.9664165668805165
2017-07-16,-0.021928314939991256,5.968376036246125
2017-07-17,-0.02276862164979654,5.967722862769412
2017-07-18,-0.022855553976415432,5.96710600252837
2017-07-19,-0.02393480464231369,5.967011522604072
2017-07-20,-0.023263205007319095,5.968390365173811
2017-07-21,-0.02184746040878043,5.970029341913461
2017-07-22,-0.021431294777906708,5.972450194743473
2017-07-23,-0.022684267017697955,5.969985349595402
2017-07-24,-0.023523283240509806,5.96952527668217
2017-07-25,-0.02374383329052645,5.967371772627847
2017-07-26,-0.025137661738362176,5.966506912641688
2017-07-27,-0.025443616773138743,5.967402379074742
2017-07-28,-0.024580471718327866,5.970291800761728
2017-07-29,-0.024825846143508225,5.969581727070104
2017-07-30,-0.024713956431209817,5.969477625185589
2017-07-31,-0.024152222477275505,5.967133932639097
2017-08-01,-0.023895086211642554,5.96670008014641
2017-08-02,-0.022652640105980903,5.966409485388172
2017-08-03,-0.022700255706542372,5.964262147220647
2017-08-04,-0.022271965544415604,5.964307293628256
2017-08-05,-0.022973061187118195,5.964984817917031
2017-08-06,-0.022313500983954168,5.962840092001478
2017-08-07,-0.021627771247291264,5.9626724288555835
2017-08-08,-0.02121335848750868,5.961398779090256
2017-08-09,-0.020689319482969204,5.963927795115599
2017-08-10,-0.021313813684811708,5.961402096070018
2017-08-11,-0.021410741839122175,5.95989223277746
2017-08-12,-0.023728001597522867,5.949936245736302
2017-08-13,-0.023551104405533357,5.948633842345464
2017-08-14,-0.023950026624661874,5.947310195505618
2017-08-15,-0.02535403434116373,5.948923513811925
2017-08-16,-0.024293153900826682,5.952799094648682
2017-08-17,-0.024335434710792095,5.949830964680627
2017-08-18,-0.022315940666078865,5.953029382680055
2017-08-19,-0.02193836313520142,5.950836952618706
2017-08-20,-0.02157503511637884,5.950787415404148
2017-08-21,-0.023018238845983523,5.949122478356248
2017-08-22,-0.022583390434478722,5.951649827704995
2017-08-23,-0.022911039238831084,5.950655124770361
2017-08-24,-0.022885899035849176,5.950757098443469
2017-08-25,-0.0220978888502505,5.9543064488825355
2017-08-26,-0.021232770199094402,5.957897625716832
2017-08-27,-0.01980328263942748,5.9631428377259486
2017-08-28,-0.019315213033584407,5.962151755863768
2017-08-29,-0.019464232753353506,5.961421432896553
2017-08-30,-0.021061409960900505,5.961699091289701
2017-08-31,-0.02165589993883158,5.963300166667695
2017-09-01,-0.020775951350387456,5.9644680222807205
2017-09-02,-0.02028281495099646,5.966576691129114
2017-09-03,-0.020333970998578674,5.966346160438656
2017-09-04,-0.019358620671898343,5.963404638556364
2017-09-05,-0.019471264188060028,5.961528778643679
2017-09-06,-0.019137450469863114,5.960878196112953
2017-09-07,-0.01848224467689921,5.960953715725952
2017-09-08,-0.018655440889574142,5.961865171392746
2017-09-09,-0.01697575356161531,5.963085172382859
2017-09-10,-0.01642315582985157,5.961414412280558
2017-09-11,-0.016141983563616874,5.956753798002643
2017-09-12,-0.015964907728095883,5.95828512199815
2017-09-13,-0.016019205145036044,5.959940214872778
2017-09-14,-0.0153062727578237,5.957804761966042
2017-09-15,-0.01615173838109408,5.955928635168056
2017-09-16,-0.016845312895862392,5.954668776559202
2017-09-17,-0.017736099282085017,5.953316989040325
2017-09-18,-0.018825458182221533,5.949960267751297
2017-09-19,-0.017954033744776415,5.9500041898384275
2017-09-20,-0.019548296175833816,5.950310727251927
2017-09-21,-0.020117891906339867,5.9497486782572695
2017-09-22,-0.020802888637048742,5.948587135160533
2017-09-23,-0.019764338166648236,5.944868476340827
2017-09-24,-0.019292547276751077,5.942561691230906
2017-09-25,-0.01876470161692604,5.943627293606857
2017-09-26,-0.01917467978880355,5.937402221012405
2017-09-27,-0.020830668161309466,5.940842033119716
2017-09-28,-0.021383064852206528,5.943584985333554
2017-09-29,-0.020151504696386074,5.945273155730851
2017-09-30,-0.017869081281617332,5.943470520100066
2017-10-01,-0.018527937392165704,5.940665010286622
2017-10-02,-0.01936429141408266,5.940921253009877
2017-10-03,-0.018718174690170456,5.9386454511326
2017-10-04,-0.01613682950269245,5.937687706241808
2017-10-05,-0.01644149063314284,5.937393959022999
2017-10-06,-0.01748361778362364,5.933880850975793
2017-10-07,-0.01649404740166218,5.93354793717919
2017-10-08,-0.017198266582527027,5.929623199309468
2017-10-09,-0.01620298131043911,5.9226984680705534
2017-10-10,-0.016144930596706974,5.9199981077355535
2017-10-11,-0.015696961124906927,5.9155622624153645
2017-10-12,-0.014817865288778728,5.909355489869308
2017-10-13,-0.01521423105849879,5.9149413124767145
2017-10-14,-0.014742896996255795,5.916320280117513
2017-10-15,-0.01452642613214662,5.918723305730646
2017-10-16,-0.01654954875366546,5.923944223507826
2017-10-17,-0.016726288977076405,5.926610776865323
2017-10-18,-0.017165254198083825,5.921172521981023
2017-10-19,-0.01958523233469322,5.921643032068311
