time,dvv,ccmean
2014-11-24,,
2014-11-25,,
2014-11-26,,
2014-11-27,,
2014-11-28,,
2014-11-29,,
2014-11-30,,
2014-12-01,,
2014-12-02,,
2014-12-03,,
2014-12-04,,
2014-12-05,,
2014-12-06,,
2014-12-07,,
2014-12-08,,
2014-12-09,,
2014-12-10,,
2014-12-11,,
2014-12-12,,
2014-12-13,,
2014-12-14,,
2014-12-15,,
2014-12-16,,
2014-12-17,,
2014-12-18,,
2014-12-19,,
2014-12-20,,
2014-12-21,,
2014-12-22,,
2014-12-23,,
2014-12-24,,
2014-12-25,,
2014-12-26,,
2014-12-27,,
2014-12-28,-0.05422410533805721,5.394481692592179
2014-12-29,-0.0528657786169432,5.398884169323003
2014-12-30,-0.05433756186003063,5.401393202041956
2014-12-31,-0.05729581307756482,5.401182075682524
2015-01-01,-0.06078006050622448,5.417003047562445
2015-01-02,-0.06012281934060684,5.415400346337938
2015-01-03,-0.060087051118909246,5.408437544701172
2015-01-04,-0.060081012617598975,5.418763409950361
2015-01-05,-0.06020718205824266,5.421050107337875
2015-01-06,-0.06008784713669961,5.425928672038213
2015-01-07,-0.05845950650207833,5.44150729380705
2015-01-08,-0.05838267575948484,5.4486090972826124
2015-01-09,-0.05906276586216154,5.43648278329953
2015-01-10,-0.06140234077200074,5.428927650227592
2015-01-11,-0.06187246055691519,5.43255439602308
2015-01-12,-0.06187479223888205,5.4314234442409095
2015-01-13,-0.06197923903100434,5.429162221039438
2015-01-14,-0.06425155760178539,5.4308034151541555
2015-01-15,-0.0666615606430922,5.44517798418374
2015-01-16,-0.07068938037347514,5.474451114129082
2015-01-17,-0.07646096698272259,5.48777015274815
2015-01-18,-0.07920468448030726,5.501229576710175
2015-01-19,-0.08286278522756117,5.519479925388512
2015-01-20,-0.08329782100489404,5.562152179965258
2015-01-21,-0.08200320934159307,5.619557247659852
2015-01-22,-0.08504737456099042,5.653961169963146
2015-01-23,-0.08526036822283427,5.68024027703533
2015-01-24,-0.08382839191032278,5.698947131516644
2015-01-25,-0.08227801092281693,5.716978273740353
2015-01-26,-0.08133160084432992,5.731521197282068
2015-01-27,-0.0785826577876635,5.737125385489826
2015-01-28,-0.07453455697494882,5.756213050397341
2015-01-29,-0.06980703609761735,5.760982768483388
2015-01-30,-0.0675683795509451,5.7548814388939755
2015-01-31,-0.06974833386940275,5.7475724521808775
2015-02-01,-0.07186322370715456,5.737636679473009
2015-02-02,-0.07158013832404377,5.7258838510405425
2015-02-03,-0.07054603017609348,5.725258792651199
2015-02-04,-0.07064444749392246,5.724893134297989
2015-02-05,-0.06772870636289179,5.7182376684122325
2015-02-06,-0.06478919576366375,5.7248125871097235
2015-02-07,-0.0633211522074526,5.719969181022945
2015-02-08,-0.06095456006060731,5.721640879488184
2015-02-09,-0.060017802671390494,5.722194421974216
2015-02-10,-0.05914243286057197,5.7259230488262185
2015-02-11,-0.05324015552568047,5.74471798801052
2015-02-12,-0.048596428005895066,5.754972820275626
2015-02-13,-0.04412750406171743,5.756543966903274
2015-02-14,-0.04557517271530844,5.7302948565361955
2015-02-15,-0.0429011517793929,5.720196255816998
2015-02-16,-0.04062974302784085,5.707527268823743
2015-02-17,-0.03843924024868766,5.707792705577294
2015-02-18,-0.035027484072095515,5.706209405816763
2015-02-19,-0.03520672998670678,5.708671661131854
2015-02-20,-0.03940012631069862,5.708925510720624
2015-02-21,-0.0374416392804935,5.7282580923038395
2015-02-22,-0.03281660895528977,5.727633944982914
2015-02-23,-0.037957593622240174,5.722268641534312
2015-02-24,-0.03496666285341763,5.728213085436319
