Date,Weighted Δv/v,CC_mean
2016-11-22,-0.0292985582181,5.792673212433619
2016-11-23,-0.030284042856356407,5.791113180618121
2016-11-24,-0.030365153904997128,5.791846217991837
2016-11-25,-0.03019855396585156,5.793476338132583
2016-11-26,-0.02906603504646737,5.796945648904862
2016-11-27,-0.02910960346136244,5.798402793855551
2016-11-28,-0.029828184864159998,5.796537805584094
2016-11-29,-0.03184906419188852,5.795177563002626
2016-11-30,-0.030838224552467593,5.800595493944696
2016-12-01,-0.03159975559448173,5.799408690104644
2016-12-02,-0.03109923523954518,5.802761516697897
2016-12-03,-0.032213997489893044,5.801972703791625
2016-12-04,-0.032586634847817424,5.80139746910173
2016-12-05,-0.03154978945164215,5.806292048453596
2016-12-06,-0.03212911435733388,5.802449661362275
2016-12-07,-0.03227927186500043,5.802984321980871
2016-12-08,-0.0346067672030853,5.798110957616849
2016-12-09,-0.033298915400351105,5.799277136397105
2016-12-10,-0.03253084083313688,5.800655493562371
2016-12-11,-0.032987175081714504,5.801076082580313
2016-12-12,-0.032429854521045354,5.7992470997792305
2016-12-13,-0.0322449208889131,5.80119093144891
2016-12-14,-0.03270616628663799,5.799929090946962
2016-12-15,-0.032554685264218335,5.8011595958224
2016-12-16,-0.03214456663146388,5.799577898114947
2016-12-17,-0.03072217076385922,5.8006132382045905
2016-12-18,-0.03048582881899036,5.801145104582877
2016-12-19,-0.029784827779055504,5.80279257999446
2016-12-20,-0.028859761773960317,5.803169045296887
2016-12-21,-0.02701183014130102,5.807317568648802
2016-12-22,-0.028848702544174026,5.797670514604308
2016-12-23,-0.02926272267850848,5.7972025707634
2016-12-24,-0.029353101822034162,5.796399404598683
2016-12-25,-0.027277601955204817,5.79450478134843
2016-12-26,-0.02755857082881988,5.7970808297430425
2016-12-27,-0.02727829971799638,5.80040141082859
2016-12-28,-0.026934385402682736,5.802368747140576
2016-12-29,-0.026031033988260715,5.804861579208435
2016-12-30,-0.027699103074337067,5.804996851841287
2016-12-31,-0.02683006436533682,5.805481926405051
2017-01-01,-0.02690898884790107,5.806790480488688
2017-01-02,-0.028567981031714554,5.804662732817503
2017-01-03,-0.026760489092637292,5.806548822593389
2017-01-04,-0.026022986632511895,5.807252990311243
2017-01-05,-0.02710002114803901,5.807421977167733
2017-01-06,-0.02612922547894698,5.8106198589335945
2017-01-07,-0.025069699502658565,5.811685646630378
2017-01-08,-0.02161222113920014,5.814775377632474
2017-01-09,-0.022314225528557108,5.814607359350001
2017-01-10,-0.021452096285243034,5.815186384877874
2017-01-11,-0.02161908268770976,5.81379479892477
2017-01-12,-0.018963271789026608,5.823498246066237
2017-01-13,-0.018021036065542523,5.825736821286474
2017-01-14,-0.019220059781703106,5.821833495868119
2017-01-15,-0.01889765856089739,5.8235777847836285
2017-01-16,-0.019139385229484284,5.821510057073473
2017-01-17,-0.017611785129722213,5.822806197235567
2017-01-18,-0.01762407816715457,5.822756070773499
2017-01-19,-0.0173668328705473,5.82479659513363
2017-01-20,-0.01791172537078012,5.823464840122933
2017-01-21,-0.017356151428726884,5.826630350684458
2017-01-22,-0.016473737994519354,5.825798284871565
2017-01-23,-0.016201736544686953,5.8246476552108915
2017-01-24,-0.015778485520905487,5.827247243511422
2017-01-25,-0.014671288965649584,5.8307740465766456
2017-01-26,-0.015617689450922052,5.829477433163521
2017-01-27,-0.014555874695178753,5.82536415157224
2017-01-28,-0.021827066591317924,5.764893491618671
2017-01-29,-0.021386252804267415,5.76468670780982
2017-01-30,-0.02050722606716736,5.769445315117933
2017-01-31,-0.018527485565488805,5.781702976434107
2017-02-01,-0.019954170408570573,5.776240962111664
2017-02-02,-0.01806810559157717,5.778826722574055
2017-02-03,-0.019756295038135804,5.778678981521259
2017-02-04,-0.01916617299353493,5.779109009656524
2017-02-05,-0.0194916429441243,5.77942648120974
2017-02-06,-0.018101342860486105,5.780722405928772
2017-02-07,-0.01809061787238226,5.7769093497537245
2017-02-08,-0.017706486822337112,5.776210902428383
2017-02-09,-0.017208108155471125,5.779311849787291
2017-02-10,-0.016437580142039793,5.7788829433965745
2017-02-11,-0.015101076263464887,5.7738946309746
2017-02-12,-0.01454803641973558,5.773096072397957
2017-02-13,-0.012959066479974881,5.777229525582371
2017-02-14,-0.013181715221044374,5.773630344261295
2017-02-15,-0.01371293853463213,5.770193883773845
2017-02-16,-0.013843071675384762,5.767132560510543
2017-02-17,-0.01496635872381428,5.764184272756676
2017-02-18,-0.016781526188042663,5.753619037181922
2017-02-19,-0.01772523233165019,5.750144187669347
2017-02-20,-0.0178969709249869,5.747409235228935
2017-02-21,-0.016964028594704722,5.746936072822033
2017-02-22,-0.016738740073207962,5.734245455738934
2017-02-23,-0.015244127923174394,5.739989883976545
2017-02-24,-0.013565241361818024,5.745326977562699
2017-02-25,-0.012489466035298599,5.74526087188709
2017-02-26,-0.009377268013796054,5.7492870777962555
2017-02-27,-0.009179507201973969,5.750147153381276
2017-02-28,-0.008347094697148163,5.753897080769124
2017-03-01,-0.007305391595912093,5.7555589111014935
2017-03-02,-0.00642311162430054,5.751367535089713
2017-03-03,-0.0069437198091048605,5.754244975523743
2017-03-04,-0.007931085629567486,5.757103704183303
2017-03-05,-0.007090047348183298,5.754573177201125
2017-03-06,-0.007110535116646993,5.743977622744924
2017-03-07,-0.006793851781354285,5.745406877960066
2017-03-08,-0.007813029239163428,5.749183369604923
2017-03-09,0.002090201064367454,5.8258630941180325
2017-03-10,0.002715885601844246,5.825278967412063
2017-03-11,0.0016605363059370032,5.824670985363296
